ID,innings,BattingTeam,TotalRuns,AvgWickets,MaxOvers
392214,1,Chennai Super Kings,185,0.027522935779816515,17
392214,2,Kings XI Punjab,174,0.02702702702702703,17
392215,1,Mumbai Indians,116,0.07692307692307693,19
392215,2,Delhi Daredevils,118,0.02564102564102564,18
392216,1,Deccan Chargers,168,0.04,19
392216,2,Kings XI Punjab,169,0.05737704918032787,19
392217,1,Rajasthan Royals,140,0.05737704918032787,19
392217,2,Chennai Super Kings,141,0.02586206896551724,18
392218,1,Mumbai Indians,157,0.015748031496062992,19
392218,2,Royal Challengers Bangalore,141,0.0546875,19
392219,1,Kolkata Knight Riders,123,0.06349206349206349,19
392219,2,Delhi Daredevils,125,0.027777777777777776,17
392220,1,Deccan Chargers,166,0.05785123966942149,19
392220,2,Rajasthan Royals,113,0.08333333333333333,19
392221,1,Kolkata Knight Riders,173,0.03225806451612903,19
392221,2,Royal Challengers Bangalore,176,0.03225806451612903,19
392222,1,Kings XI Punjab,119,0.06923076923076923,19
392222,2,Mumbai Indians,122,0.019230769230769232,16
392223,1,Delhi Daredevils,173,0.05555555555555555,19
392223,2,Deccan Chargers,161,0.08130081300813008,19
392224,1,Chennai Super Kings,129,0.08403361344537816,19
392224,2,Royal Challengers Bangalore,132,0.06611570247933884,19
392225,1,Rajasthan Royals,145,0.056451612903225805,19
392225,2,Mumbai Indians,143,0.07874015748031496,19
392226,1,Delhi Daredevils,120,0.07086614173228346,19
392226,2,Kings XI Punjab,123,0.03278688524590164,19
392227,1,Mumbai Indians,147,0.040983606557377046,19
392227,2,Chennai Super Kings,151,0.025,19
392228,1,Kolkata Knight Riders,160,0.04032258064516129,19
392228,2,Deccan Chargers,166,0.03225806451612903,19
392229,1,Kings XI Punjab,134,0.05555555555555555,19
392229,2,Deccan Chargers,133,0.06451612903225806,19
392230,1,Delhi Daredevils,150,0.024193548387096774,19
392230,2,Rajasthan Royals,136,0.07086614173228346,19
392231,1,Chennai Super Kings,188,0.023255813953488372,19
392231,2,Kolkata Knight Riders,189,0.024793388429752067,19
392232,1,Delhi Daredevils,134,0.056910569105691054,19
392232,2,Royal Challengers Bangalore,135,0.02586206896551724,18
392233,1,Rajasthan Royals,101,0.07317073170731707,19
392233,2,Kolkata Knight Riders,102,0.05042016806722689,19
392234,1,Chennai Super Kings,116,0.07377049180327869,19
392234,2,Kings XI Punjab,92,0.06504065040650407,19
392235,1,Mumbai Indians,165,0.061068702290076333,19
392235,2,Delhi Daredevils,166,0.05454545454545454,17
392236,1,Royal Challengers Bangalore,170,0.03305785123966942,19
392236,2,Deccan Chargers,158,0.047619047619047616,19
392237,1,Delhi Daredevils,153,0.064,19
392237,2,Deccan Chargers,154,0.03571428571428571,17
392238,1,Chennai Super Kings,146,0.04065040650406504,19
392238,2,Royal Challengers Bangalore,149,0.034782608695652174,18
392239,1,Deccan Chargers,143,0.047619047619047616,19
392239,2,Royal Challengers Bangalore,137,0.0743801652892562,19
419106,1,Kolkata Knight Riders,161,0.031496062992125984,19
419106,2,Deccan Chargers,150,0.05511811023622047,19
419107,1,Mumbai Indians,212,0.05426356589147287,19
419107,2,Rajasthan Royals,208,0.056,19
419108,1,Kings XI Punjab,142,0.072,19
419108,2,Delhi Daredevils,146,0.04132231404958678,19
419109,1,Royal Challengers Bangalore,135,0.05737704918032787,19
419109,2,Kolkata Knight Riders,136,0.024793388429752067,19
419110,1,Deccan Chargers,190,0.030534351145038167,19
419110,2,Chennai Super Kings,159,0.07317073170731707,19
419111,1,Rajasthan Royals,141,0.048,19
419111,2,Delhi Daredevils,142,0.037383177570093455,17
419112,1,Kings XI Punjab,203,0.023076923076923078,19
419112,2,Royal Challengers Bangalore,204,0.01694915254237288,18
419113,1,Chennai Super Kings,164,0.024793388429752067,19
419113,2,Kolkata Knight Riders,109,0.08403361344537816,19
419114,1,Mumbai Indians,218,0.05511811023622047,19
419114,2,Delhi Daredevils,120,0.08737864077669903,16
419115,1,Rajasthan Royals,92,0.08064516129032258,19
419115,2,Royal Challengers Bangalore,93,0.0,10
419116,1,Delhi Daredevils,185,0.048,19
419116,2,Chennai Super Kings,190,0.04065040650406504,19
419117,1,Deccan Chargers,170,0.06611570247933884,19
419117,2,Kings XI Punjab,164,0.06557377049180328,19
419118,1,Rajasthan Royals,168,0.056910569105691054,19
419118,2,Kolkata Knight Riders,134,0.04132231404958678,19
419119,1,Mumbai Indians,151,0.07258064516129033,19
419119,2,Royal Challengers Bangalore,155,0.02608695652173913,19
419120,1,Deccan Chargers,171,0.049586776859504134,19
419120,2,Delhi Daredevils,161,0.0743801652892562,19
419121,1,Kings XI Punjab,136,0.06557377049180328,19
419121,2,Chennai Super Kings,136,0.0546875,19
419121,3,Chennai Super Kings,9,0.4,0
419121,4,Kings XI Punjab,10,0.25,0
419122,1,Kolkata Knight Riders,155,0.023809523809523808,19
419122,2,Mumbai Indians,156,0.02608695652173913,18
419123,1,Royal Challengers Bangalore,171,0.04032258064516129,19
419123,2,Chennai Super Kings,135,0.05555555555555555,19
419124,1,Rajasthan Royals,183,0.03937007874015748,19
419124,2,Kings XI Punjab,152,0.08403361344537816,19
419125,1,Chennai Super Kings,180,0.015384615384615385,19
419125,2,Mumbai Indians,181,0.041666666666666664,18
419126,1,Deccan Chargers,148,0.07086614173228346,19
419126,2,Rajasthan Royals,151,0.020618556701030927,15
419127,1,Kolkata Knight Riders,183,0.038461538461538464,19
419127,2,Kings XI Punjab,144,0.048,19
419128,1,Delhi Daredevils,183,0.031496062992125984,19
419128,2,Royal Challengers Bangalore,166,0.072,19
419129,1,Rajasthan Royals,177,0.06557377049180328,19
419129,2,Chennai Super Kings,160,0.04878048780487805,19
419130,1,Mumbai Indians,172,0.05426356589147287,19
419130,2,Deccan Chargers,131,0.09090909090909091,17
419131,1,Delhi Daredevils,177,0.03225806451612903,19
419131,2,Kolkata Knight Riders,137,0.07142857142857142,19
419132,1,Kings XI Punjab,163,0.07874015748031496,19
419132,2,Mumbai Indians,164,0.04838709677419355,19
419133,1,Royal Challengers Bangalore,161,0.03225806451612903,19
419133,2,Chennai Super Kings,162,0.042735042735042736,18
419134,1,Delhi Daredevils,188,0.04838709677419355,19
419134,2,Rajasthan Royals,121,0.09174311926605505,17
419135,1,Kolkata Knight Riders,181,0.047619047619047616,19
419135,2,Deccan Chargers,157,0.04,19
419136,1,Kings XI Punjab,181,0.04032258064516129,19
419136,2,Royal Challengers Bangalore,184,0.03389830508474576,19
419137,1,Chennai Super Kings,246,0.040983606557377046,19
419137,2,Rajasthan Royals,223,0.04,19
419138,1,Mumbai Indians,178,0.04032258064516129,19
419138,2,Deccan Chargers,115,0.08771929824561403,18
419139,1,Kolkata Knight Riders,200,0.023622047244094488,19
419139,2,Kings XI Punjab,204,0.017857142857142856,18
419140,1,Delhi Daredevils,184,0.04065040650406504,19
419140,2,Royal Challengers Bangalore,147,0.0743801652892562,19
419141,1,Rajasthan Royals,159,0.08130081300813008,19
419141,2,Deccan Chargers,157,0.07936507936507936,19
419142,1,Chennai Super Kings,165,0.03125,19
419142,2,Mumbai Indians,141,0.06976744186046512,19
419143,1,Kings XI Punjab,153,0.047619047619047616,19
419143,2,Rajasthan Royals,157,0.010309278350515464,14
419144,1,Kolkata Knight Riders,181,0.023809523809523808,19
419144,2,Delhi Daredevils,167,0.06451612903225806,19
419145,1,Royal Challengers Bangalore,184,0.046153846153846156,19
419145,2,Deccan Chargers,186,0.024793388429752067,19
419146,1,Mumbai Indians,154,0.0743801652892562,19
419146,2,Kings XI Punjab,158,0.03361344537815126,19
419147,1,Chennai Super Kings,138,0.06504065040650407,19
419147,2,Deccan Chargers,139,0.03305785123966942,19
419148,1,Kolkata Knight Riders,160,0.07142857142857142,19
419148,2,Royal Challengers Bangalore,162,0.02830188679245283,17
419149,1,Delhi Daredevils,111,0.07936507936507936,19
419149,2,Kings XI Punjab,112,0.02654867256637168,18
419150,1,Mumbai Indians,174,0.0390625,19
419150,2,Rajasthan Royals,137,0.06504065040650407,19
419151,1,Deccan Chargers,151,0.04838709677419355,19
419151,2,Royal Challengers Bangalore,138,0.08,19
419152,1,Mumbai Indians,183,0.032,19
419152,2,Delhi Daredevils,144,0.05737704918032787,19
419153,1,Kolkata Knight Riders,139,0.06349206349206349,19
419153,2,Chennai Super Kings,143,0.011627906976744186,13
419154,1,Rajasthan Royals,130,0.04878048780487805,19
